duration,title,channel,published,time
22:20,Now playing,Ambient Agents and 6 Other Big Ideas Coming Out of AI,The AI Daily Brief: Artificial Intelligence News,22.33
18:42,Now playing,"Real-time Experiments with an AI Co-Scientist - Stefania Druga, fmr. Google Deepmind",AI Engineer,18.7
9:26,Now playing,Augment Code: Specs Driven Development For AI Coding Agents,Prompt Engineering,9.43
37:46,Now playing,"The END of RL: GEPA - NEW Genetic AI (MIT, UC Berkeley)",Discover AI,37.77
0:0,AlphaGo Moment for Model Architecture Discovery,Richard Aragon,12 days ago,0.0
0:0,"1,000 tok/s?! The Age of Diffusion Based LLMs Is Upon Us",bycloud,11 days ago,0.0
0:0,The 6 Proven AI Workflows That Survive Every AI Hype Cycle,AI News & Strategy Daily | Nate B Jones,11 days ago,0.0
0:0,"Strategies for LLM Evals (GuideLLM, lm-eval-harness, OpenAI Evals Workshop) — Taylor Jordan Smith",AI Engineer,12 days ago,0.0
0:0,"Ship Agents that Ship: A Hands-On Workshop - Kyle Penfound, Jeremy Adams, Dagger",AI Engineer,12 days ago,0.0
0:0,"Information Retrieval from the Ground Up - Philipp Krenn, Elastic",AI Engineer,13 days ago,0.0
0:0,"My Startup’s AI Agent Playbook for 5-10x Engineering Speed (with Claude Code, MCP’s, etc)",Patrick Ellis,2 weeks ago,0.0
0:0,How to Use a Knowledge Graph Ft Yohei Nakajima,FalkorDB,1 month ago,0.0
0:0,"Introduction to LLM serving with SGLang - Philip Kiely and Yineng Zhang, Baseten",AI Engineer,13 days ago,0.0
0:0,"A2A & MCP Workshop: Automating Business Processes with LLMs — Damien Murphy, Bench",AI Engineer,13 days ago,0.0
0:0,Core Ideas in Artificial Intelligence: From Perceptron to Transformers,Kimia Lab,2 weeks ago,0.0
0:0,"Liability for AI Harms: How Ancient Law Can Govern Frontier Technology Risk, with Prof Gabriel Weil","Cognitive Revolution ""How AI Changes Everything""",13 days ago,0.0
0:0,"Your Coding Agent Just Got Cloned And Your Brain Isn't Ready - Rustin Banks, Google Jules",AI Engineer,2 weeks ago,0.0
0:0,Will AI Kill Your Job? 12 Brutal Career Questions Answered,AI News & Strategy Daily | Nate B Jones,2 weeks ago,0.0
0:0,Atoosa Kasirzadeh - AI Safety for Everyone Addressing Present Day Risks,Cohere,2 weeks ago,0.0
0:0,"NEW ""Thinking"" Qwen3 - 2507: Reasoning TEST",Discover AI,2 weeks ago,0.0
0:0,"Human seeded Evals — Samuel Colvin, Pydantic",AI Engineer,2 weeks ago,0.0
0:0,Context Engineering with DSPy - the fully hands-on Basics to Pro course!,Neural Breakdown with AVB,2 weeks ago,0.0
0:0,"Latent Space Paper Club: AIEWF Special Edition (Test of Time, DeepSeek R1/V3) — VIbhu Sapra",AI Engineer,2 weeks ago,0.0
0:0,The 9 Hard Truths Killing AI Products Before They Ship,AI News & Strategy Daily | Nate B Jones,2 weeks ago,0.0
32:57,Now playing,You're doing Agentic chat history wrong | OpenAI Agents SDK,James Briggs,32.95
10:10,Now playing,Install Agent File with Letta: Open Format for AI Agents with Portability,Fahd Mirza,10.17
12:51,Now playing,MLflow 3.0: The Future of AI Agents,MLOps.community,12.85
5:36:23,Now playing,"Enterprise AI Tutorial – Embeddings, RAG, and Multimodal Agents Using Amazon Nova and Bedrock",freeCodeCamp.org,336.38
15:25,Now playing,"AX is the only Experience that Matters - Ivan Burazin, Daytona",AI Engineer,15.42
15:50,Now playing,"Building Applications with AI Agents — Michael Albada, Microsoft",AI Engineer,15.83
19:06,Now playing,"Mentoring the Machine — Eric Hou, Augment Code",AI Engineer,19.1
16:50,Now playing,"The Rise of Open Models in the Enterprise — Amir Haghighat, Baseten",AI Engineer,16.83
17:40,Now playing,"Structuring a modern AI team — Denys Linkov, Wisedocs",AI Engineer,17.67
0:0,"How to build Enterprise Aware Agents - Chau Tran, Glean",AI Engineer,2 weeks ago,0.0
0:0,AI is Eating Search,Latent Space,2 weeks ago,0.0
0:0,"How to Hire AI Engineers when EVERYONE is cheating with AI — Beth Glenfield, DevDay",AI Engineer,2 weeks ago,0.0
0:0,"The Hater's Guide To The AI Bubble, Pt. 1 | Better Offline",Better Offline,2 weeks ago,0.0
0:0,How AI actually reasons: inside model thought processes,Dr Waku,2 weeks ago,0.0
0:0,LangGraph Agents - Design Patterns,SupportVectors,2 weeks ago,0.0
0:0,"POC to PROD: Hard Lessons from 200+ Enterprise GenAI Deployments - Randall Hunt, Caylent",AI Engineer,2 weeks ago,0.0
0:0,"Building Agents (the hard parts!) - Rita Kozlov, Cloudflare",AI Engineer,2 weeks ago,0.0
0:0,"How to Build Planning Agents without losing control - Yogendra Miraje, Factset",AI Engineer,2 weeks ago,0.0
0:0,From Hype to Habit: How We’re Building an AI-First SaaS Company—While Still Shipping the Roadmap,AI Engineer,2 weeks ago,0.0
0:0,"3 ingredients for building reliable enterprise agents - Harrison Chase, LangChain/LangGraph",AI Engineer,2 weeks ago,0.0
0:0,Operationalizing GraphRAG: Lettria’s Scalable Architecture with Neo4j and Qdrant,Qdrant Vector Database & Search Engine,2 weeks ago,0.0
0:0,Guardrails,AI Makerspace,Streamed 2 weeks ago,0.0
0:0,Context Rot: How Increasing Input Tokens Impacts LLM Performance (Paper Analysis),Yannic Kilcher,2 weeks ago,0.0
0:0,How to Automate Fine Tuning with Oxen AI,Oxen,2 weeks ago,0.0
0:0,The Man Behind LangChain Memory | Will Fu-Hinthorn,Greg Kamradt,2 weeks ago,0.0
0:0,Just Released: Self-Learning Multi-AI Agent using Reinforcement learning,MG,2 weeks ago,0.0
0:0,Content-Aware Storage: Powering AI Agents & Assistants with RAG,IBM Technology,2 weeks ago,0.0
0:0,Steal My 2-Prompt Blueprint: Turn ChatGPT Into Your Personal AI Tutor (Live Demo),AI News & Strategy Daily | Nate B Jones,2 weeks ago,0.0
0:0,"Mastering JSON in Pandas | Read, Normalize, and Manipulate JSON Data in Python",Ryan & Matt Data Science,2 weeks ago,0.0
0:0,RAG-Based Knowledge Management System Implementation Using Level-3 Architecture 🚀,DSwithBappy,2 weeks ago,0.0
0:0,Secure GenAI Applications in Python - Full Example Project,NeuralNine,2 weeks ago,0.0
0:0,"Season 3 Finale: Top Insights, Hacks, and Lessons from the Frontlines of AI Security",MLSecOps,2 weeks ago,0.0
0:0,Excalidraw: AI and Human Whiteboarding Partnership - Christopher Chedeau,AI Engineer,2 weeks ago,0.0
0:0,"UX Design Principles for Semi Autonomous Multi Agent Systems — Victor Dibia, Microsoft",AI Engineer,2 weeks ago,0.0
0:0,"The Bitter Layout or: How I Learned to Love the Model Picker — Maximillian Piras, Yutori",AI Engineer,2 weeks ago,0.0
0:0,"Knowledge Graphs in Litigation Agents — Tom Smoker, WhyHow",AI Engineer,2 weeks ago,0.0
0:0,"Stop Using RAG as Memory — Daniel Chalef, Zep",AI Engineer,2 weeks ago,0.0
15:47,Now playing,"When Vectors Break Down: Graph-Based RAG for Dense Enterprise Knowledge - Sam Julien, Writer",AI Engineer,15.78
8:01,Now playing,AI Almost Won! 🥇OpenAI vs Deepmind Controversy! 🥇,1littlecoder,8.02
9:41,Now playing,"What is AI Slop? Low-Quality AI Content Causes, Signs, & Fixes",IBM Technology,9.68
9:19,Now playing,Developers’ Favorite AI Tools in 2025,Prompt Engineering,9.32
30:53,Now playing,Hacking LLM Apps & Agents: Real-World Exploits (Prompt Injection Along the CIA Security Triad),Embrace The Red,30.88
19:52,Now playing,"What every AI engineer needs to know about GPUs — Charles Frye, Modal",AI Engineer,19.87
16:17,Now playing,Secure LLM Architecture - Testing LLM Guard,Latio Tech - Cloud & App Security,16.28
7:35,Now playing,"27-Year Investor Explains What You're Missing While Chasing AI l TELUS Global Ventures, Terry Doyle",EO,7.58
1:04:30,Now playing,Théo Vincent - Optimizing the Learning Trajectory of Reinforcement Learning Agents,Cohere,64.5
0:0,"Evaluating agents: how we built Loop, the AI assistant for evals",Braintrust,3 weeks ago,0.0
0:0,"How to Train Your Agent: Building Reliable Agents with RL — Kyle Corbitt, OpenPipe",AI Engineer,2 weeks ago,0.0
0:0,"A Taxonomy for Next-gen Reasoning — Nathan Lambert, Allen Institute (AI2) & Interconnects.ai",AI Engineer,2 weeks ago,0.0
0:0,"OpenReasoning-Nemotron-7B: Generate Solutions for Science, Math and Code with AI",Fahd Mirza,2 weeks ago,0.0
0:0,Will AI replace your job in 2030?,Data Science in your pocket,2 weeks ago,0.0
0:0,"On Curiosity — Sharif Shameem, Lexica",AI Engineer,2 weeks ago,0.0
0:0,"Dream Machine: Scaling to 1m users in 4 days — Keegan McCallum, Luma AI",AI Engineer,2 weeks ago,0.0
0:0,Advertising doesn't work the way you think it does,Jeffrey Kaplan,8 months ago,0.0
0:0,Mixture-of-Recursions: Learning Dynamic Recursive Depths for Adaptive Token-Level Computation,Xiaol.x,3 weeks ago,0.0
0:0,ALL Agree: This is The Next GEN AI,Discover AI,2 weeks ago,0.0
0:0,Energy-Based Transformers are Scalable Learners and Thinkers (Paper Review),Yannic Kilcher,2 weeks ago,0.0
0:0,"Before You Build with AI, Watch THIS (Big Mistakes to Avoid)",What's AI by Louis-François Bouchard,2 weeks ago,0.0
0:0,"Agentic GraphRAG: AI’s Logical Edge — Stephen Chin, Neo4j",AI Engineer,2 weeks ago,0.0
0:0,"Critical AI Inference your CIO can Trust — Sahil Yadav, Hariharan Ganesan, Telemetrak",AI Engineer,2 weeks ago,0.0
16:33,Now playing,"Government Agents: AI Agents vs Tough Regulations — Mark Myshatyn, Los Alamos National Laboratory",AI Engineer,16.55
17:17,Now playing,"Building Effective Voice Agents — Toki Sherbakov + Anoop Kotha, OpenAI",AI Engineer,17.28
14:53,Now playing,"Full Spec MCP: Hidden Capabilities of the MCP spec — Harald Kirschner, Microsoft/VSCode",AI Engineer,14.88
29:58,Now playing,How Does Retrieval Augmented Generation (RAG) Actually Work?,Adam Lucek,29.97
2:38,Now playing,Is AI Just a Fancy Carriage Without the Horse?,MLOps.community,2.63
1:23:32,Now playing,We are truly in the Hackathon Era – Namanh Kapur interview [Podcast #180],freeCodeCamp.org,83.53
4:12,Now playing,Agentic RAG: A Framework for LLM Reasoning,AI Research Roundup,4.2
59:41,Now playing,Webinar | Creating Certainty in the Age of Agentic AI,Akka,59.68
26:50,Now playing,NEW ADAPTIVE Multi-Agent AI System: AIME (ByteDance),Discover AI,26.83
8:03,Now playing,ChatGPT Agent Is Here: Your All‑In‑One AI Worker?,Prompt Engineering,8.05
28:17,Now playing,Do I Still Think AI Has No Moat In 2025,Richard Aragon,28.28
45:07,Now playing,From Human-Readable to Machine-Usable: The New API Stack,Gradient Flow,45.12
53:32,Now playing,MLSecOps Podcast - Javan & Rico,MLSecOps,53.53
0:0,"Shipping an Enterprise Voice AI Agent in 100 Days - Peter Bar, Intercom Fin",AI Engineer,3 weeks ago,0.0
0:0,"Good design hasn’t changed with AI — John Pham, SF Compute",AI Engineer,2 weeks ago,0.0
0:0,GPUHammer: The AI Security Threat Nobody's Talking About,Fahd Mirza,3 weeks ago,0.0
0:0,"[Full Workshop] Reinforcement Learning, Kernels, Reasoning, Quantization & Agents — Daniel Han",AI Engineer,2 weeks ago,0.0
0:0,"Transforming search and discovery using LLMs — Tejaswi & Vinesh, Instacart",AI Engineer,3 weeks ago,0.0
0:0,100% Local PDF OCR with Docling and Ollama | PDF to Markdown with VLM (Nanonets-OCR-s),Venelin Valkov,3 weeks ago,0.0
0:0,Agentic Topic Modeling with Maarten Grootendorst - Weaviate Podcast #126!,Weaviate • Vector Database,4 weeks ago,0.0
0:0,Arthur Douillard - Distributed Training in Machine Learning,Cohere,3 weeks ago,0.0
0:0,From the Legal Trenches to Tech // Nick Coleman // MLOps Podcast #332,MLOps.community,3 weeks ago,0.0
0:0,"Small AI Teams with Huge Impact — Vik Paruchuri, Datalab",AI Engineer,3 weeks ago,0.0
0:0,"Benchmarks Are Memes: How What We Measure Shapes AI—and Us - Alex Duffy, Every.to",AI Engineer,3 weeks ago,0.0
0:0,"905: Why RAG Makes LLMs Less Safe (And How to Fix It), with Bloomberg’s Dr. Sebastian Gehrmann",Super Data Science: ML & AI Podcast with Jon Krohn,3 weeks ago,0.0
0:0,localGPT 2.0 - Building the Best Private RAG System,Prompt Engineering,3 weeks ago,0.0
0:0,Google MEMORY BANK Released – Long-Term Memory for Your AI Agent (2025),MG,3 weeks ago,0.0
0:0,Sparse Embeddings Explained with Local Demo of Opensearch-Neural-Sparse-Encoding-Doc,Fahd Mirza,3 weeks ago,0.0
0:0,MAGIC of DSPY 3 (Stanford) - Lean 4,Discover AI,3 weeks ago,0.0
0:0,✨ Beyond Prompts: The Future of AI-Assisted Development | Marc Brooker x Darko Mesaros 🧠,Kiro,3 weeks ago,0.0
0:0,LLM Observability | AI Agent Monitoring | AIOps | OpenLLMetry,AI Anytime,3 weeks ago,0.0
0:0,Context Rot: How Increasing Input Tokens Impacts LLM Performance,Chroma,3 weeks ago,0.0
0:0,LangGraph + Mem0 Integration: Add Long-Term Memory to Your AI Agents,Pradip Nichite,3 weeks ago,0.0
0:0,Agentic RAG with NVIDIA NeMo Retriever,AI Bites,3 weeks ago,0.0
0:0,"Prompt Engineering and AI Red Teaming — Sander Schulhoff, HackAPrompt/LearnPrompting",AI Engineer,3 weeks ago,0.0
0:0,Building Agentic Systems with Protocols: MCP & A2A,AI Makerspace,3 weeks ago,0.0
0:0,Sara Hooker - The slow death of scaling and what comes next (Khipu 2025),Cohere,4 weeks ago,0.0
0:0,"⚡️Ranking Agentic LLMs — Pratik Bhavsar, Galileo",Latent Space,3 weeks ago,0.0
0:0,Reverse-engineering GGUF | Post-Training Quantization,Julia Turc,3 weeks ago,0.0
0:0,Real-world exploits and mitigations in LLM applications (37c3),Embrace The Red,1 year ago,0.0
0:0,FastAPI Course for Beginners,freeCodeCamp.org,3 years ago,0.0
0:0,FastAPI - A python framework | Full Course,Bitfumes,4 years ago,0.0
0:0,FastAPI Full Crash Course - Python’s Fastest Web Framework,NeuralNine,5 months ago,0.0
0:0,Will Brown: Abstractions for Agentic RL,OpenPipe,1 month ago,0.0
0:0,Context Engineering: The Outer Loop | Hammad Bashir,Chroma,4 weeks ago,0.0
0:0,The Weird ChatGPT Hack That Leaked Training Data,Machine Learning Street Talk,3 weeks ago,0.0
0:0,GraphGeeks Talk: Knowledge Graphs for AI Agents,GraphGeeks,1 month ago,0.0
0:0,Deepchecks ORION: SOTA for Detecting Hallucination in LLM Workflows,Deepchecks,1 month ago,0.0
0:0,JSON Crack - Convert JSON to Interactive Graph - Install and Test Locally,Fahd Mirza,4 weeks ago,0.0
0:0,Isha Puri - Test Time Scaling Small LMs to o1 level,Cohere,4 weeks ago,0.0
0:0,Why the AI Race Ends in Disaster (with Daniel Kokotajlo),Future of Life Institute,1 month ago,0.0
0:0,Are AI Browsers the Next Big AI Trend?,The AI Daily Brief: Artificial Intelligence News,4 weeks ago,0.0
0:0,LangChain Upgraded Library Every AI Engineer Should Know,Gao Dalie (Ilyass),4 weeks ago,0.0
0:0,An AI Fable for the New Economy,AI News & Strategy Daily | Nate B Jones,4 weeks ago,0.0
0:0,"Personalized AI Language Education — with Andrew Hsu, Speak",Latent Space,4 weeks ago,0.0
0:0,How AI Is Changing The Ad Creation Across Platforms - Apoorva Govind - CEO of Bestever.ai,SVIC Podcast,4 weeks ago,0.0
0:0,"The New Code — Sean Grove, OpenAI",AI Engineer,4 weeks ago,0.0
0:0,Hacking LLMs Demo and Tutorial (Explore AI Security Vulnerabilities),David Bombal Tech,4 months ago,0.0
0:0,Google Releases MedGemma 27B: Build Healthcare-based AI Applications,Fahd Mirza,4 weeks ago,0.0
0:0,AI Hype Exposed: Meta VP on Why “Intelligent” Machines Stay Dumb | Yann LeCun,This Is World,1 month ago,0.0
0:0,"Production software keeps breaking and it will only get worse — Anish Agarwal, Traversal.ai",AI Engineer,4 weeks ago,0.0
0:0,What is GraphRAG? (…and how you can build a GraphRAG solution quickly!) | Amazon Web Services,Amazon Web Services,4 weeks ago,0.0
0:0,How Red Teamers Are Exposing Flaws in AI Pipelines,MLSecOps,4 weeks ago,0.0
5:14,Now playing,Authentication with an MCP server. A quick demo.,Underfitted,5.23
49:48,Now playing,Why Voice Security Is Your Next Big Problem,Gradient Flow,49.8
1:28:48,Now playing,Cracking the Medical Code: Why Cleveland Clinic Doctors Love Their Ambience Healthcare AI Scribe,"Cognitive Revolution ""How AI Changes Everything""",88.8
31:09,Now playing,Let the LLM Write the Prompts: An Intro to DSPy in Compound AI Pipelines,Databricks,31.15
12:45,Now playing,How Grok Went Rogue on July 8: The Engineering Blunders That Let AI Spew Hate,AI News & Strategy Daily | Nate B Jones,12.75
1:01:03,Now playing,Building AI that Doesn’t Break,MLOps.community,61.05
59:16,Now playing,Boosting RAG and Search,Together AI,59.27
